ID Teff lgf
HD164353 1.75058 1.54528
HD188001 3.240000009536743 1.16
HD188209 3.09274 1.23053
HD198478 1.75545 1.26299
HD199478 1.22979 1.11331
HD199579 3.950000047683716 1.47
HD206165 1.98532 1.23194
HD207198 3.309999942779541 1.23
HD209975 3.24021 1.18309
HD21291 1.02497 1.2447
HD213087 2.51162 1.2371
HD214680 3.5199999809265137 1.7
HD24431 3.25846 1.2894
HD2905 2.48614 1.19137
HD30614 2.99725 1.11304
HD31327 2.17589 1.54444
HD34078 3.284 1.88301
HD34085 1.23504 1.21363
HD34656 3.5999999046325684 1.27
HD35600 1.07705 1.99202
HD36486 2.99662 1.23568
HD36512 3.22424 1.98515
HD36861 3.5199999809265137 1.33
HD37128 2.78559 1.22688
HD38771 2.64964 1.26154
HD47839 3.8299999237060547 1.69
HD91316 2.20718 1.28412
