# Atomic Line List version: 3.00b3   Constructed: 2021-05-04 10:19 GMT
# Wavelength range: 3800 - 9000   Unit: Angstrom   Type: Air
# Radial velocity: 0 km/s
# Wavelength accuracy upper limit: 5%
# Element/Spectrum: H  I, He I-II, O I-IV, C I-IV, N I-V, Si I-IV, Mg I-IV, S I-IV (missing Ne I-IV, Ar I-IV)
# Minimum line strength: no restrictions
# Include lines without atomic data: true
# Minimum abundance: no minimum
# Lower level energy range: no restrictions   Unit: cm^-1
# Upper level energy range: no restrictions
# Maximum for principal quantum number n: 4 (+ no restrictions for H I, + some He n>4 at the bottom, + n5-12 with -log(gf) > 0 for the above elements)
# Transition types included: Nebular (E1,E2)
# Transitions from auto-ionizing levels: included
# Comment code: A-> activity, D -> diagnostic line (global), V -> vsini, Q -> affected by wind, Teff -> used for determination of Teff, RV_O/B/A -> good for RV determination

wl_air	   , dlamb  , spc   , tt, configuration                              , term               , J_i-J_k          , -lg(gf), tpf, level_energy(cm-1)     , ref    ,  name, comment
3801.1     , 9.1e-01, S I   , E1,      3s2.3p3.(4So).4p-3s2.3p3.(2Do).4d     ,        3P-3So      ,      1 - 1       ,        ,    ,   64888.96 -   91190.00, ASD    ,      ,
3801.4     , 9.1e-01, S I   , E1,      3s2.3p3.(4So).4p-3s2.3p3.(2Do).4d     ,        3P-3So      ,      0 - 1       ,        ,    ,   64891.39 -   91190.00, ASD    ,      ,
3801.6     , 9.1e-01, S I   , E1,      3s2.3p3.(4So).4p-3s2.3p3.(2Do).4d     ,        3P-3So      ,      2 - 1       ,        ,    ,   64892.58 -   91190.00, ASD    ,      ,
3802.025   , 1.3e-02, O II  , E1,       2s2.2p2.(3P).4s-2s2.2p2.(1D).4p      ,        2P-2Do      ,    1/2 - 3/2     , -1.5091,   3,  240330.01 -  266624.32, ASD    ,      ,
3802.605   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).4p-3s2.3p2.(3P).4d      ,       4Po-4P       ,    3/2 - 1/2     , -0.4561,   3,  129858.18 -  156148.48, ASD    ,      ,
3802.754   , 1.3e-02, S II  , E1,       3s2.3p2.(3P).3d-3s2.3p2.(3P<0>).4f   ,        2D-0[3]o    ,    5/2 - 5/2     ,        ,    ,  133814.84 -  160104.11, ASD    ,      ,
3802.9     , 4.1e-01, N II  , E1,        2s.2p2.(4P).3d-2s.2p2.(2D).3p       ,        3P-3Do      ,      2 - 3       ,        ,    ,  246835.20 -  273123.70, 030    ,      ,
3802.984   , 9.2e-03, O II  , E1,       2s2.2p2.(3P).3p-2s2.2p2.(3P).4s      ,       2Po-2P       ,    3/2 - 3/2     , -0.4761,  15,  214229.67 -  240517.35, ASD    ,      ,
3806.526   , 1.3e-02, Si III, E1,                 3s.4p-3s.4d                ,       3Po-3D       ,      2 - 3       ,  0.6785,  17,  175336.26 -  201599.48, ASD    ,      ,
3806.700   , 1.3e-02, Si III, E1,                 3s.4p-3s.4d                ,       3Po-3D       ,      2 - 2       , -0.0700,  17,  175336.26 -  201598.28, ASD    ,      ,
